customer_id,region,contract_type,monthly_charges,age,tenure_months,monthly_charges,avg_monthly_usage_gb,support_tickets_90d,payment_failures_90d,service_incidents_30d,late_deliveries_90d,discount_pct,engagement_score,nps_score,days_since_last_login,cross_sell_products,autopay_enabled,paperless_billing,premium_support,streaming_bundle,churn_probability,predicted_churn,risk_band,churned,retention_priority,risk_summary,recommended_action
CUST-000263,North America,month-to-month,116.21,67,26,116.21,438.26,1,4,0,0,4.01,56.7,-18,15,1,0,1,0,0,0.9959301252324667,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-004784,Europe,month-to-month,123.89,70,11,123.89,380.69,2,2,1,0,8.9,62.5,-23,18,0,0,1,0,1,0.9957288781293134,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-008126,North America,month-to-month,125.65,56,25,125.65,,2,3,0,1,14.14,63.0,-46,0,2,0,1,0,0,0.995508727958958,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-011129,North America,month-to-month,111.73,33,22,111.73,197.39,4,0,1,0,12.27,44.6,0,25,0,1,1,0,0,0.9950088347206729,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-000330,North America,month-to-month,104.93,76,51,104.93,267.5,5,1,2,0,8.01,39.1,15,12,0,0,1,0,0,0.9941632052902554,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-014498,North America,month-to-month,109.58,58,29,109.58,401.78,3,1,2,0,10.38,33.8,14,16,2,0,1,0,0,0.9940938591804996,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-002950,APAC,two-year,111.04,52,19,111.04,297.04,1,3,1,0,14.52,28.2,-21,10,3,0,1,0,0,0.994044297844577,1,critical,1,Immediate retention review,Billing instability; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-007897,Europe,month-to-month,118.66,54,19,118.66,179.11,3,0,1,0,9.89,63.0,18,21,1,0,1,0,0,0.9940411508924734,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-012012,North America,month-to-month,135.62,51,16,135.62,343.52,3,1,0,1,6.96,62.3,8,14,0,0,1,0,0,0.9938425666230728,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-011294,Europe,month-to-month,154.74,53,19,154.74,434.53,3,1,3,0,6.67,66.5,-34,5,1,0,1,0,1,0.9935973686936859,1,critical,0,Immediate retention review,Month-to-month commitment; High support friction; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-012057,North America,month-to-month,84.68,29,9,84.68,442.89,2,3,0,0,9.57,60.0,-41,9,2,0,1,0,0,0.9935533835834482,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-006167,Europe,month-to-month,103.38,34,47,103.38,40.0,4,3,2,0,0.0,54.9,6,3,3,0,1,0,0,0.9935227404811611,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-004633,North America,month-to-month,96.79,24,6,96.79,276.99,3,2,1,1,9.58,61.8,-13,8,3,0,1,0,1,0.9934436390146996,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-008814,LATAM,month-to-month,160.58,36,46,160.58,451.13,5,4,0,0,0.0,52.9,27,4,2,0,1,0,0,0.9933748356060825,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-009469,Europe,month-to-month,106.47,31,29,106.47,337.17,2,3,1,2,14.71,70.6,-26,22,2,0,0,0,0,0.9931776379360276,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-002807,North America,month-to-month,116.84,30,20,116.84,315.28,6,1,0,1,14.63,67.9,31,20,1,0,1,0,0,0.9928588132768783,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-007520,North America,month-to-month,102.12,53,17,102.12,146.24,4,2,1,2,7.93,44.0,13,2,0,1,1,0,0,0.9922313856880812,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-012395,North America,month-to-month,120.69,40,9,120.69,187.56,3,0,0,2,0.0,44.4,24,18,0,1,0,0,0,0.9920656007276477,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-008004,North America,month-to-month,91.48,52,47,91.48,204.19,5,0,0,2,8.58,64.8,-22,16,0,0,1,0,0,0.9920456864392274,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-007698,APAC,month-to-month,107.56,38,22,107.56,296.62,4,3,0,0,5.39,38.4,33,6,2,0,1,1,1,0.9918773493250151,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-012420,North America,month-to-month,141.85,74,5,141.85,148.05,4,1,1,1,3.46,64.7,46,13,1,0,1,0,1,0.9918760115313557,1,critical,0,Immediate retention review,Month-to-month commitment; High support friction; Early-life churn risk,Route to retention specialist with offer guardrails and executive outreach review.
CUST-004660,North America,month-to-month,127.85,23,15,127.85,440.77,4,1,4,1,14.13,59.4,6,10,1,0,0,0,0,0.9917213806396776,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-000605,LATAM,one-year,102.08,30,7,102.08,242.72,3,2,1,0,6.43,55.6,-23,8,2,0,0,0,0,0.9915394153532447,1,critical,1,Immediate retention review,Billing instability; High support friction; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-009989,North America,month-to-month,121.43,57,12,121.43,273.25,2,0,2,0,3.94,33.6,38,11,0,0,1,0,0,0.9914044327184656,1,critical,1,Immediate retention review,Month-to-month commitment; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-004593,APAC,month-to-month,138.01,30,38,138.01,232.46,4,0,0,0,6.03,49.8,-51,6,0,1,1,0,0,0.9912373131740018,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-001074,LATAM,month-to-month,107.95,58,13,107.95,228.25,5,1,2,0,5.03,79.9,7,15,1,0,1,0,0,0.9912330383184081,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-013564,Europe,month-to-month,121.74,50,19,121.74,278.36,1,1,2,1,0.17,62.6,14,17,1,0,1,0,0,0.9911064445179639,1,critical,1,Immediate retention review,Month-to-month commitment; Falling product engagement; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-004295,APAC,month-to-month,112.84,75,24,112.84,155.47,4,1,1,0,6.7,57.7,16,23,2,1,1,0,0,0.9909583305550014,1,critical,0,Immediate retention review,Month-to-month commitment; High support friction; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-014369,LATAM,one-year,134.62,64,8,134.62,205.81,4,3,2,0,6.58,60.6,32,6,2,0,1,1,0,0.9904931246661952,1,critical,1,Immediate retention review,Billing instability; High support friction; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-012608,LATAM,month-to-month,136.6,36,26,136.6,367.75,5,1,3,1,12.98,52.3,39,6,0,0,1,0,1,0.9904756832550798,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-004983,North America,one-year,121.79,52,10,121.79,298.01,1,4,0,0,5.49,55.3,-15,6,1,0,1,0,1,0.9901738668833837,1,critical,1,Immediate retention review,Billing instability; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-006231,LATAM,month-to-month,79.94,53,23,79.94,396.81,3,1,3,0,16.54,43.8,-18,4,0,0,1,0,1,0.9901372881423481,1,critical,0,Immediate retention review,Month-to-month commitment; High support friction; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-010535,North America,month-to-month,123.07,64,19,123.07,396.04,2,2,1,0,17.37,25.0,36,12,2,0,1,1,0,0.9895094920199962,1,critical,0,Immediate retention review,Month-to-month commitment; Billing instability,Route to retention specialist with offer guardrails and executive outreach review.
CUST-013486,APAC,month-to-month,113.52,25,45,113.52,459.44,3,3,2,1,7.53,52.8,9,14,2,0,0,0,0,0.9894076793984109,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-013064,LATAM,month-to-month,117.28,30,16,117.28,180.83,3,1,2,0,16.99,67.5,-20,0,2,0,1,0,1,0.9892281262328777,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-012705,Europe,month-to-month,161.54,74,20,161.54,286.0,7,1,2,0,5.9,74.7,89,12,0,0,1,0,0,0.9891979609926856,1,critical,0,Immediate retention review,Month-to-month commitment; High support friction; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-000815,North America,month-to-month,125.42,56,51,125.42,178.67,3,1,1,0,14.23,62.5,-19,8,2,0,0,0,1,0.9889166514304656,1,critical,0,Immediate retention review,Month-to-month commitment; High support friction; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-002150,North America,month-to-month,122.42,49,22,122.42,296.39,4,1,1,1,10.13,52.3,-28,3,1,1,1,0,0,0.9887909500806676,1,critical,0,Immediate retention review,Month-to-month commitment; High support friction; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-014513,APAC,month-to-month,83.83,27,24,83.83,372.87,5,1,0,2,,45.9,-24,8,1,0,0,0,0,0.9884661039446494,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-011702,APAC,month-to-month,117.74,46,7,117.74,215.2,4,1,1,1,6.06,58.7,13,10,0,1,1,0,0,0.9883209130732115,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-010197,North America,month-to-month,106.79,48,35,106.79,159.64,6,3,0,1,1.49,62.4,43,9,0,0,1,0,0,0.9883094068306028,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-013614,APAC,month-to-month,68.38,46,17,68.38,337.89,1,5,2,0,9.06,68.5,23,15,1,0,1,0,0,0.9882100745837883,1,critical,0,Immediate retention review,Month-to-month commitment; Billing instability; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-010506,APAC,month-to-month,189.08,36,38,189.08,316.39,6,0,1,0,6.61,56.0,37,9,2,0,1,1,0,0.9881959438263481,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-012195,North America,month-to-month,130.37,68,6,130.37,339.9,3,1,0,0,14.51,53.6,-7,12,3,0,1,0,1,0.987659851084256,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-013968,APAC,one-year,123.67,40,23,123.67,,4,4,1,0,6.71,42.3,21,12,1,0,1,0,0,0.9874117902894344,1,critical,1,Immediate retention review,Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-014191,North America,month-to-month,122.74,72,4,122.74,469.22,1,3,1,0,7.25,55.6,33,14,2,0,1,0,0,0.9870070746812664,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Early-life churn risk,Route to retention specialist with offer guardrails and executive outreach review.
CUST-001117,North America,month-to-month,131.03,28,11,131.03,372.72,3,3,1,0,6.03,57.7,1,4,3,0,0,0,0,0.9868394695962096,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-011669,Europe,month-to-month,102.88,58,14,102.88,457.65,6,3,0,1,3.81,74.1,-12,1,1,0,1,0,1,0.9868301873847707,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-011546,APAC,month-to-month,72.52,54,19,72.52,364.79,5,2,1,0,13.7,,-25,3,1,0,1,0,0,0.9867076824341903,1,critical,0,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-014806,APAC,month-to-month,98.83,64,7,98.83,302.05,2,2,1,0,12.74,63.1,8,8,0,0,1,0,0,0.9864522599259176,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability,Route to retention specialist with offer guardrails and executive outreach review.
CUST-009199,North America,month-to-month,102.69,66,10,102.69,137.0,2,2,0,1,10.05,74.8,21,20,2,0,0,0,1,0.9862944061293832,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-008650,APAC,month-to-month,93.8,19,9,93.8,307.84,3,4,0,1,17.3,40.4,67,9,4,0,1,0,1,0.9861921628560307,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-004515,North America,month-to-month,151.66,35,35,151.66,397.39,9,2,1,2,19.76,,5,3,5,0,1,0,1,0.98594407670971,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-004990,North America,month-to-month,159.2,53,23,159.2,113.08,0,0,0,0,11.54,58.1,36,14,1,0,1,0,1,0.9857867926077494,1,critical,1,Immediate retention review,Month-to-month commitment,Route to retention specialist with offer guardrails and executive outreach review.
CUST-010421,North America,month-to-month,103.18,27,32,103.18,493.99,5,3,1,1,8.42,58.0,4,13,0,0,1,1,0,0.985719658795189,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-014853,APAC,month-to-month,152.02,70,7,152.02,294.69,4,2,1,0,0.0,65.3,44,9,3,0,1,0,0,0.9854715956082449,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-014571,LATAM,month-to-month,128.07,49,25,128.07,374.26,1,0,2,0,16.01,53.7,-12,20,2,0,1,0,0,0.9853949712755118,1,critical,0,Immediate retention review,Month-to-month commitment; Falling product engagement; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-004513,APAC,month-to-month,111.97,49,12,111.97,556.05,7,2,0,0,6.41,71.4,-26,10,1,0,1,0,0,0.9853199053279139,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-000003,APAC,month-to-month,98.43,25,15,98.43,330.57,4,1,1,1,13.64,42.2,43,9,1,0,1,0,1,0.9851767372458217,1,critical,0,Immediate retention review,Month-to-month commitment; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-006631,APAC,month-to-month,123.16,36,39,123.16,231.73,2,1,0,0,15.07,52.2,18,14,2,0,1,0,0,0.98462112491565,1,critical,0,Immediate retention review,Month-to-month commitment,Route to retention specialist with offer guardrails and executive outreach review.
CUST-005361,APAC,month-to-month,116.68,24,8,116.68,496.93,3,2,2,1,18.68,50.7,1,5,1,0,0,0,1,0.9845954363201389,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-005491,North America,month-to-month,106.18,72,18,106.18,360.51,4,1,2,1,14.45,56.7,5,4,0,0,1,0,0,0.9845325062580335,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-006576,Europe,month-to-month,60.9,48,7,60.9,292.47,4,1,1,1,9.47,54.5,-4,14,0,0,0,0,0,0.9843086701120151,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-003755,Europe,month-to-month,107.67,72,33,107.67,529.58,5,3,2,1,17.05,81.2,-16,19,0,0,1,0,1,0.9840176532900784,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-013214,Europe,month-to-month,111.13,48,15,111.13,585.08,3,0,1,1,11.28,35.0,-19,12,4,0,1,0,0,0.9839623041147266,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-006588,LATAM,month-to-month,106.95,77,14,106.95,213.13,5,1,2,1,10.79,61.3,31,14,3,0,1,1,1,0.9835687649623562,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-013821,LATAM,month-to-month,121.85,51,23,121.85,463.09,6,1,1,1,12.0,52.9,9,6,1,0,1,1,0,0.9833782250409403,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-014400,APAC,month-to-month,149.84,44,8,149.84,536.03,5,0,3,1,6.59,67.5,1,18,3,0,1,0,0,0.9832675242079914,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-007628,LATAM,month-to-month,99.41,76,20,99.41,526.21,2,4,0,0,8.35,35.7,-10,1,5,0,1,1,1,0.9832475308391265,1,critical,0,Immediate retention review,Month-to-month commitment; Billing instability; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-009485,APAC,month-to-month,86.56,64,11,86.56,292.85,2,2,0,1,16.69,66.1,-25,6,1,0,1,0,0,0.983185445909572,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-003298,Europe,month-to-month,132.0,73,18,132.0,280.75,2,1,2,0,10.9,67.1,-3,19,0,1,1,0,0,0.9829019714762888,1,critical,0,Immediate retention review,Month-to-month commitment; Falling product engagement; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-007026,Europe,month-to-month,93.32,66,22,93.32,397.35,7,0,0,0,0.82,49.7,-6,12,0,0,0,0,1,0.9828599592199956,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-009231,North America,month-to-month,129.77,68,23,129.77,416.02,2,5,1,2,4.97,77.4,40,7,0,0,1,0,1,0.9826010781193925,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability,Route to retention specialist with offer guardrails and executive outreach review.
CUST-008268,North America,one-year,133.96,48,14,133.96,284.91,2,1,1,1,10.41,27.7,12,12,2,0,1,0,0,0.9825538649411749,1,critical,1,Immediate retention review,Routine monitoring,Route to retention specialist with offer guardrails and executive outreach review.
CUST-002047,Europe,month-to-month,106.96,61,17,106.96,264.83,2,1,0,0,15.63,36.3,-10,11,1,1,1,0,0,0.9825303944265735,1,critical,1,Immediate retention review,Month-to-month commitment; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-011666,APAC,month-to-month,95.91,56,5,95.91,197.42,1,2,0,0,5.4,72.4,19,13,1,0,1,0,0,0.9824868241381793,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Early-life churn risk,Route to retention specialist with offer guardrails and executive outreach review.
CUST-008634,Europe,month-to-month,94.65,42,4,94.65,157.28,3,1,1,0,10.02,54.8,-1,15,2,1,0,0,0,0.9822735156848704,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-004881,North America,month-to-month,146.47,56,8,146.47,301.02,4,0,0,0,5.85,55.1,28,8,1,0,1,0,0,0.9820713365061549,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-005173,APAC,one-year,161.78,67,8,161.78,456.98,5,3,1,2,14.5,69.5,37,15,3,0,1,0,0,0.9819610120866769,1,critical,1,Immediate retention review,Billing instability; High support friction; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-007801,North America,month-to-month,88.83,29,26,88.83,309.32,1,2,1,1,10.73,65.8,5,13,0,0,0,0,0,0.981844123077518,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-009217,LATAM,month-to-month,136.17,47,12,136.17,509.87,1,1,2,1,5.97,63.7,-42,10,0,1,1,0,0,0.9818029709891389,1,critical,1,Immediate retention review,Month-to-month commitment; Recent service disruption; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-004291,North America,month-to-month,91.01,27,12,91.01,319.75,5,0,1,0,17.82,46.6,-17,15,1,1,1,0,0,0.981692285452299,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-013346,APAC,month-to-month,132.37,43,21,132.37,318.0,2,1,2,0,4.74,32.0,32,6,2,0,1,0,1,0.9816473090424432,1,critical,1,Immediate retention review,Month-to-month commitment; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-013403,Europe,one-year,108.35,65,19,108.35,75.79,2,3,0,0,7.25,71.2,-12,15,0,0,1,0,1,0.9814922602931019,1,critical,1,Immediate retention review,Billing instability; Falling product engagement; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-004051,LATAM,month-to-month,102.83,55,22,102.83,412.23,3,2,1,0,7.52,48.6,51,11,0,0,0,0,1,0.9814683836903647,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-013671,APAC,month-to-month,160.44,57,19,160.44,224.8,8,1,0,1,9.8,58.7,68,0,2,0,1,1,0,0.9814520684864418,1,critical,0,Immediate retention review,Month-to-month commitment; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-003759,LATAM,month-to-month,151.42,36,16,151.42,277.02,2,1,1,0,,37.2,39,5,0,1,1,0,1,0.9813460078854859,1,critical,1,Immediate retention review,Month-to-month commitment,Route to retention specialist with offer guardrails and executive outreach review.
CUST-007920,Europe,month-to-month,110.07,38,24,110.07,368.22,4,1,3,1,11.95,58.6,24,12,0,0,1,0,0,0.9812435591770056,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-014834,North America,month-to-month,109.35,75,40,109.35,214.32,3,0,0,0,5.0,49.3,-7,13,0,0,1,0,0,0.9811785090104981,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-013857,LATAM,month-to-month,79.72,47,10,79.72,335.52,5,0,1,0,8.07,79.6,-23,10,0,0,0,1,0,0.980924348432183,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-001655,LATAM,month-to-month,110.64,30,17,110.64,207.91,2,0,1,1,2.03,53.3,-8,13,1,1,0,0,0,0.9808308964759129,1,critical,1,Immediate retention review,Month-to-month commitment; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-009358,APAC,one-year,103.97,60,39,103.97,237.3,1,1,1,2,4.66,44.0,-19,14,0,0,1,0,0,0.980801674966758,1,critical,0,Immediate retention review,Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-011369,Europe,month-to-month,73.67,20,17,73.67,282.05,2,3,0,0,7.65,70.3,-14,4,1,0,1,0,0,0.9807910712873142,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
